date,close
2023-07-03,45158.1015625
2023-07-04,45301.44921875
2023-07-05,45151.80078125
2023-07-06,45339.8984375
2023-07-07,44925.0
2023-07-10,44860.8515625
2023-07-11,44745.05078125
2023-07-12,44639.44921875
2023-07-13,44665.05078125
2023-07-14,44819.30078125
2023-07-17,45449.75
2023-07-18,45410.8515625
2023-07-19,45669.30078125
2023-07-20,46186.8984375
2023-07-21,46075.19921875
2023-07-24,45923.05078125
2023-07-25,45845.0
2023-07-26,46062.3515625
2023-07-27,45679.30078125
2023-07-28,45468.1015625
2023-07-31,45651.1015625
2023-08-01,45592.5
2023-08-02,44995.69921875
2023-08-03,44513.44921875
2023-08-04,44879.5
2023-08-07,44837.5
2023-08-08,44964.44921875
2023-08-09,44880.69921875
